Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (AIF External Dependency),Custom field (AIF Innovation Potential),Custom field (AIF Sufficiency),Custom field (AIF Value),Custom field (Acceptance Criteria),Custom field (Access to AIAPPS Platform with ability to*),Custom field (Affected services),Custom field (Audience Segment ID),Custom field (Audience Type),Custom field (BCA Started),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Benefit hypothesis),Custom field (Business Value [MM$]),Custom field (CSE FTE Engaged),Custom field (Categories | Regions),Custom field (Category),Custom field (Chance of success),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Committed),Custom field (Compass),Custom field (Concerned Jira or Confluence URLs),Custom field (Concerned users - P&G shortnames only),Custom field (DS ELT Contact),Custom field (Dependency Status),Custom field (Dependency Type),Custom field (Development),Custom field (Domain),Custom field (End date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Facebook Ad Account),Custom field (Have you read the documentation?),Custom field (Impact),Custom field (Issue color),Custom field (Key Sponsor),Custom field (Lead DS),Custom field (Locked forms),Custom field (Model Risk Officer),Custom field (NSR Jira Ticket),Custom field (Needed by),Custom field (Open forms),Custom field (Persons requiring access or project admins (P&G emails are required!)),"Custom field (Provide request details, e.g. application name:)",Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Requesting team),Custom field (Requestor),Custom field (Risk),Satisfaction rating,Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Success Metris),Custom field (Target end),Custom field (Target start),Custom field (Task progress),Custom field (Team),Custom field (Tier),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Type of Product),Custom field (Value),Custom field (What is your issue about?),Custom field ([CHART] Date of First Response),Custom field (itAccess group to map),Comment,Comment.1,Status Category,Watchers.1,Watchers Id.1,Outward issue link (Cloners),Custom field (Epic Link),Epic Link Summary,Sprint,Sprint.1,Comment.2,Parent,Parent summary,Inward issue link (Cloners),Attachment.1,Attachment.2,Attachment.3,Attachment.4,Custom field (Reviewers),Custom field (Reviewers)Id,Inward issue link (Relates),Inward issue link (Relates).1,"Custom field (Support required for Jira, Confluence or both?)",Comment.3,Comment.4,Comment.5,Labels,Inward issue link (Blocks),Inward issue link (Cloners).1,Inward issue link (Cloners).2,Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start).1,Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start).1,Outward issue link (Relates),Outward issue link (Relates).1,Outward issue link (Relates).2,Sprint.2,Sprint.3,Sprint.4,Comment.6,Comment.7,Comment.8,Comment.9,Comment.10,Comment.11,Comment.12,Fix versions,Labels.1,Attachment.5,Attachment.6,Attachment.7,Attachment.8,Custom field (AIF Internal Dependency),Inward issue link (Problem/Incident),Outward issue link (Relates).3,Outward issue link (Relates).4,Outward issue link (Relates).5
TSS Remediation PI.AMJ.23,AIAPPS-2220,114851,Story,Done,AIAPPS,AIAPPS,software,Daniel Alarcon,60462dca3ab18c0068b8d27d,,,Medium,Done,Szymon Osiecki,61029d08627b560068c8a078,Natalia Klimpel,62557e9c410206006e966da3,Natalia Klimpel,62557e9c410206006e966da3,09/Mar/23 8:34 AM,29/Jun/23 9:35 AM,05/Jul/23 8:18 AM,29/Jun/23 9:35 AM,,0,"Technical Security Standards (TSS) are requirements that P&G has set to help ensure the overall security posture of any environment within P&G. These can relate to Operating Systems, Databases, Servers, Cloud Configurations, Third-party interaction, and more.

[Technical Security Standards at P&G|https://pgone.sharepoint.com/sites/WISE/Pages/PGSecurity/Standards.aspx?OR=Teams-HL&CT=1659611942823&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiIyNy8yMjA3MDMwMDgxNCIsIkhhc0ZlZGVyYXRlZFVzZXIiOnRydWV9]

 

*D&A has implemented* [http://Wiz.io|http://Wiz.io|smart-link]  *to help track TSS gaps.*

*What it does?*

[http://Wiz.io|http://Wiz.io|smart-link]  is a security software that monitors insecure protocols, vulnerabilities, Technical Security Standard requirements, and misconfigurations.

*How it works?*

[http://Wiz.io|http://Wiz.io|smart-link]  uses API calls combined with a security framework to report on issues.

*Why we use it?*

In order to more proactively monitor security issues within our space and ensure the timely remediation of these issues.

*Who this impacts?*

Anyone in D&A responsible for the development, maintenance, or ownership of a resource or the components of those resources.

*When it will be in effect?*

[http://Wiz.io|http://Wiz.io|smart-link]  is already running in the environment. The security team has worked with the various platforms to set the expectations for use of the tool and is continuing to refine this process.

 

[http://Wiz.io|http://Wiz.io|smart-link] 



[{color:#bf2600}+job aid link+{color}|https://pgone.sharepoint.com/sites/CDL-DHDataSecurityandRiskManagement/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FCDL%2DDHDataSecurityandRiskManagement%2FShared%20Documents%2FTechnical%20Security%20Standard%20Governance%20%28Wiz%2Eio%29%2FWiz%2Eio%20Job%20Aid%20%2D%20Data%20and%20Analytics%2Epdf&parent=%2Fsites%2FCDL%2DDHDataSecurityandRiskManagement%2FShared%20Documents%2FTechnical%20Security%20Standard%20Governance%20%28Wiz%2Eio%29&p=true&ga=1]",,Natalia Klimpel,62557e9c410206006e966da3,,,,,,,,,09/Mar/23 8:36 AM;ug:00ac896d-3a43-4cdb-9d37-a563f002d638;AIF - AI Apps.xlsx;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/21166,,,,,"HIGH - 30 DAYS

MEDIUM - 90 DAYS

LOW - 180 DAYS

 

Critical & High severity timelines are the default values assigned by ITS.

 

Medium & Low severity timelines were established based on review of:

•Issue types 

•Risk presented

•Alignment with PI Planning.",,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0cjtf:,,,,,,,,,,,,,,,,,,,,,,,,Something else,,,"09/Mar/23 8:38 AM;62557e9c410206006e966da3;Hey [~accountid:60462dca3ab18c0068b8d27d],
I was asked by Robert Walo to create a ticket on security checkup for AIAPPS. Hope you don’t mind I have messed up with your Backlog :)

 ",09/Mar/23 8:41 AM;62557e9c410206006e966da3;Security contact person Robert Walo,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create a test environment for testing the Pyrogai,APE-353,131716,Story,In Progress,APE,AIF Pipeline Engine,software,Natalia Klimpel,62557e9c410206006e966da3,,,Medium,,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,02/Jun/23 5:13 AM,03/Jul/23 11:20 AM,03/Jul/23 5:18 AM,,,0,"* Create an Environment for AIF Pipeline Engine Team, for testing purposes for Pyrogai",,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,,,,,,,,,,,Working environment ,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fsc1:,,,,,,,,,,2.0,,,,,,,,,,,,,,Something else,2023-06-22 11:18:02.534,,22/Jun/23 7:18 AM;61029d08627b560068c8a078;[🎓🥟 Knowledge Sharing Session on PyrogAI-20230613_070456-Meeting Recording.mp4 (sharepoint.com)|https://pgone-my.sharepoint.com/personal/olson_kd_pg_com/_layouts/15/stream.aspx?id=%2Fpersonal%2Folson%5Fkd%5Fpg%5Fcom%2FDocuments%2FRecordings%2F%F0%9F%8E%93%F0%9F%A5%9F%20Knowledge%20Sharing%20Session%20on%20PyrogAI%2D20230613%5F070456%2DMeeting%20Recording%2Emp4&referrer=Teams%2ETEAMS%2DELECTRON&referrerScenario=bim&ga=1],23/Jun/23 5:40 AM;6405ed610e0ddcdce18e3980;Meeting with Tomek Zdunek at 12:30,In Progress,Szymon Osiecki,61029d08627b560068c8a078,APE-350,APE-428,FY2324_P1 | 📦 Organizational Stuff,AMJ.23.6,FY2324_P1,"26/Jun/23 6:25 AM;61029d08627b560068c8a078;Minutes of meeting:

CICD code (GH) for integration testing. From a single repo, on PR to main, on creating release to pyrogai.
Also the same should be run from python pod. PyrogIA + PythonPod repositories:

* [procter-gamble/de-cf-python-pod: Create a P&G DS/AIE Project in seconds using this Cookiecutter template (github.com)|https://github.com/procter-gamble/de-cf-python-pod]
* [procter-gamble/de-cf-pyrogai: Pyrogai (github.com)|https://github.com/procter-gamble/de-cf-pyrogai]

It would be easier to take the SP roles assignment from AIP to TF blueprint to automate it - align with Paweł Konik.

We'll be triggering pipelines on both repositories, by creating branch from the latest release, making PR.
We need write permissions on both repositories.

We may create a CICD in the wrapper module to test the changes on new release.

We can create dedicated workspace for release and simply make PR to pyrogai/pythopod repos with updated information about the new workspace.",135977.0,FY2324_P1 | 📦 Organizational Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create SP with token for adbmlwpyrogaidevel DBR workspace,APE-397,134758,Story,Done,APE,AIF Pipeline Engine,software,Natalia Klimpel,62557e9c410206006e966da3,,,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Natalia Kraszewska,62c2c0cfa7de1e7c7c2cf038,Natalia Kraszewska,62c2c0cfa7de1e7c7c2cf038,21/Jun/23 3:49 AM,29/Jun/23 8:31 AM,29/Jun/23 8:39 AM,23/Jun/23 5:39 AM,,0,"SP created for the mlopsdbrdev workspace works well. The only missing thing is write/read access to the Workspace/Repos. I added it manually. 

!image-20230621-075206.png|width=1773,height=925!

Please create SP with the same settings/privileges + Workspace/Repos access for the adbmlwpyrogaidevel workspace. ",,Natalia Kraszewska,62c2c0cfa7de1e7c7c2cf038,,,,,,,,,21/Jun/23 3:52 AM;ug:0859644b-61dc-412f-81cf-a8b7181085ab;image-20230621-075206.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fpyz:,,,,,,,,,,,,,,,,,,,,,,,,Something else,2023-06-29 12:31:20.568,,"29/Jun/23 8:31 AM;6405ed610e0ddcdce18e3980;AIP - creates SP in Azure

AIP - triggers terraform (TF) deployment

TF - onboards SP in Databricks

TF - assigns permissions to SP including the CAN_USE tokens.

AIP - logs into Databricks using generated SP credential and creates PAT

AIP - saves the token in AML KV and in GitHub repo

AIP - periodically rotates the PAT in KV and GitHub",,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,,,,,,,,,,,Natalia Kraszewska,62c2c0cfa7de1e7c7c2cf038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update on MS issue,APE-391,134478,Story,Done,APE,AIF Pipeline Engine,software,Natalia Klimpel,62557e9c410206006e966da3,,,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Natalia Klimpel,62557e9c410206006e966da3,Natalia Klimpel,62557e9c410206006e966da3,19/Jun/23 4:10 AM,27/Jun/23 5:56 AM,20/Jun/23 3:57 AM,27/Jun/23 5:56 AM,,0,,,Natalia Klimpel,62557e9c410206006e966da3,,,,,,,,,20/Jun/23 3:57 AM;6405ed610e0ddcdce18e3980;image-20230620-075702.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fjhe:,,,,,,,,,,,,,,,,,,,,,,,,Something else,2023-06-20 07:57:13.506,,"20/Jun/23 3:57 AM;6405ed610e0ddcdce18e3980;!image-20230620-075702.png|width=790,height=303!","20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;!image-20230620-075738.png|width=789,height=623!

!image-20230620-075758.png|width=964,height=579!

!image-20230620-075812.png|width=816,height=366!",Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,AMJ.23.6,,"20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;!image-20230620-075834.png|width=1140,height=163!",,,,20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;image-20230620-075738.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23661,20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;image-20230620-075758.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23662,20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;image-20230620-075812.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23660,20/Jun/23 3:58 AM;6405ed610e0ddcdce18e3980;image-20230620-075834.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Service Principle] Recreate secret on AIP names,APE-390,134477,Story,Done,APE,AIF Pipeline Engine,software,Natalia Klimpel,62557e9c410206006e966da3,,,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Natalia Klimpel,62557e9c410206006e966da3,Natalia Klimpel,62557e9c410206006e966da3,19/Jun/23 4:10 AM,21/Jun/23 7:44 AM,21/Jun/23 6:13 AM,21/Jun/23 7:44 AM,,0,,,Natalia Klimpel,62557e9c410206006e966da3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fjhd:,,,,,,,,,,,,,,,,,,,,,,,,Something else,2023-06-19 09:48:31.2,,19/Jun/23 5:48 AM;6405ed610e0ddcdce18e3980;Waiting for Azure support - Marcella to be back ,,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,AMJ.23.6,,,,,,,,,,Tomasz Zdunek,5e5cf0103011ed0c8f8c63c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create a python script for triggering a test pipeline using SDKv2,APE-350,131395,Story,Done,APE,AIF Pipeline Engine,software,Natalia Klimpel,62557e9c410206006e966da3,,,Medium,Done,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,31/May/23 6:12 AM,15/Jun/23 5:50 AM,05/Jul/23 8:18 AM,15/Jun/23 5:50 AM,,0,"Create simple test pipeline using SDKv2 that is:

* using managed identity authentication
* decodes and prints JWT token information
* prints environment variables on the compute

Scripts that can be used for that:

[azure-mlops-dev/pipeline_v2.py at develop · procter-gamble/azure-mlops-dev · GitHub|https://github.com/procter-gamble/azure-mlops-dev/blob/develop/src/pipeline_v2.py]

[azure-mlops-dev/default_az_cred_check.py at develop · procter-gamble/azure-mlops-dev · GitHub|https://github.com/procter-gamble/azure-mlops-dev/blob/develop/src/default_az_cred_check.py]",,Szymon Osiecki,61029d08627b560068c8a078,,,,,,,,,,,,,,Script for triggering pipeline is created. We can confirm easily the cause of authentication issues.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0f6v7:,,,,,,,,,,0.5,,,,,,,,,,,,,,Something else,,,,,Done,,,APE-168,APE-211,PI.AMJ.23 | 🧺 Organizational Stuff,,,,122476.0,PI.AMJ.23 | 🧺 Organizational Stuff,APE-353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch to latest utils/private-endpoint module,DPOA-1898,133360,Story,Review,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,12/Jun/23 10:41 AM,04/Jul/23 8:55 AM,29/Jun/23 5:43 AM,,,0,Update private-endpoint creation with {{terraform-azure-utils.git/private-endpoint?ref=v3.1.3}} to *3.2.4*,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,29/Jun/23 4:53 AM;singh.js.5;image-20230629-085306.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23946,,,,,Latest version for {{terraform-azure-utils.git/private-endpoint}} to 3.2.4 release,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i06ozj:or,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,13/Jun/23 5:17 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1900*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1900] created to test changes.,"29/Jun/23 3:39 AM;5dde91bb7eb2280d03c98dd0;Switching +private-endpoint module reference version+ from *v3.1.x* to *v3.2.x*, creates PGI private endpoints in separate, dedicated PGI-RG (AZ-RG-PrivateEndpoints-PGI-01) other than AML-workspace-RG in respective subscription.

As of now, there's *no such PGI-RGs available* for subscriptions - *PG-NA-External-NonProd-08* and *PG-NA-External-Prod-08*.

Hence, the testing failed with error:

{color:#ff5630}│ Error: checking for presence of existing Private Endpoint ""mlwdev28june1-pvtedpt-amlworkspace-pgi"" (Resource Group ""AZ-RG-PrivateEndpoints-PGI-01""): network.PrivateEndpointsClient#Get: Failure responding to request: StatusCode=403 -- Original Error: autorest/azure: Service returned an error. Status=403 Code=""AuthorizationFailed"" {color}

{color:#ff5630}Message=""The client '0d22116a-03bb-4ed1-b82b-7565b47534d7' with object id '0d22116a-03bb-4ed1-b82b-7565b47534d7' does not have authorization to perform action 'Microsoft.Network/privateEndpoints/read' over scope '/subscriptions/27c0a03b-f477-4c6d-b9a9-608e91d2e83b/resourceGroups/AZ-RG-PrivateEndpoints-PGI-01/providers/Microsoft.Network/privateEndpoints/mlwdev28june1-pvtedpt-amlworkspace-pgi' or the scope is invalid. If access was recently granted, please refresh your credentials.""{color}",In Progress,,,,DPOA-1689,GCP and Azure Enhancements JAS23,AMJ.23.6,FY2324_P1.1,"29/Jun/23 3:43 AM;5dde91bb7eb2280d03c98dd0;Currently, [awaiting detailed information from Cloud-COE |https://teams.microsoft.com/l/message/19:a727929a35704bbd9681d0df7cb685e4@thread.tacv2/1688028735443?tenantId=3596192b-fdf5-4e2c-a6fa-acb706c963d8&groupId=7ea8c0a8-4e9d-448f-8443-770116ceec39&parentMessageId=1688028735443&teamName=CLOUD%20CoP&channelName=Infrastructure%20as%20Code&createdTime=1688028735443&allowXTenantAccess=false]team to understand:

# Availability of *AZ-RG-PrivateEndpoints-PGI-01* resource groups in +PG-NA-External-NonProd-08+ and +PG-NA-External-Prod-08+ subscriptions.
# Permission to Jenkins SP to access such resource groups.",115718.0,GCP and Azure Enhancements JAS23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,"29/Jun/23 4:53 AM;5dde91bb7eb2280d03c98dd0;!image-20230629-085306.png|width=1031,height=217!",04/Jul/23 5:40 AM;5dde91bb7eb2280d03c98dd0;[*PR-81*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/81] submitted.,04/Jul/23 6:03 AM;5dde91bb7eb2280d03c98dd0;Implement changes required to upgrade from v3.2.2 to *v3.2.4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Invoke-workspace-provisioning script,DPOA-1897,133353,Story,In Progress,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,12/Jun/23 10:36 AM,03/Jul/23 3:48 PM,15/Jun/23 4:09 AM,,,0,"Replace inference_enabled with attach_kubernetes

Add databricks setup

Remove PLS ",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,,,,,,Updated with all currently-added features.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i06ozj:pi,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,In Progress,,,,DPOA-1689,GCP and Azure Enhancements JAS23,AMJ.23.6,FY2324_P1.1,,115718.0,GCP and Azure Enhancements JAS23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work on TSS Remediation PI.JAS.23 ,DPOA-1740,123086,Story,In Progress,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Pawel Borowiak,6405ed610e0ddcdce18e3980,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,05/Apr/23 9:23 AM,04/Jul/23 9:22 AM,05/Jul/23 8:18 AM,,,0,"Issues available at: [Issues | Wiz Portal|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))))]

*Low* severity issues

* 3x [Users with highly-privileged access to Azure Container Registry|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))~control~(equals~(~'wc-id-430)))~groupBy~'none)]
* 3x [TSS AKV-3-2|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))~control~(equals~(~'12dfa460-47dd-4c8a-a8fb-0b5cd5482a31)))~groupBy~'none)]
* 2x [TSS CSS-15-3-2|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))~control~(equals~(~'2ec4176e-9aac-42dc-945b-41ce57442310)))~groupBy~'none)]
* 2x [TSS AKV-3-6|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))~control~(equals~(~'0e5ff0ad-b8c3-4f43-a417-354067a1f226)))~groupBy~'none)]",,Szymon Osiecki,61029d08627b560068c8a078,,,,,,,,,,,,,,Identified issue root cause.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fv22:,,,,,,,,,,0.4,,,,,,,,,,,,,,Something else,,,,,In Progress,,,,DPOA-1847,Address tech debt gained in year 1,FY2324_P1.1,,,131668.0,Address tech debt gained in year 1,,,,,,Andrew Bloomberg,5b756e39d521620528394596,DPOA-1730,DPOA-1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review all entries in kv for workspace,DPOA-1966,135972,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Szymon Osiecki,61029d08627b560068c8a078,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,03/Jul/23 10:47 AM,03/Jul/23 10:48 AM,05/Jul/23 8:18 AM,,,0,"After all the changes to code for EDA and pyrogai, lets verify that all the right things are stored in the workspace keyvaults",,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fwoj:,,,,,,,,,,,,,,,,,,,,,,,,Something else,,,,,To Do,,,,DPOA-1433,Connection to EDA for secure deployments,FY2324_P1.1,,,85388.0,Connection to EDA for secure deployments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
